doc_id,label_name,text
doc_000314,Sci/Tech,"Back to front switches blamed for space probe crash. It shouldn #39;t happen to a scientist: investigators have found that the  $250m (139m) Genesis space probe, which crash-landed in the Utah desert last month, failed because the switches designed to trigger its parachute were installed backwards."
doc_002586,Business,"Belo #39;s cutbacks will hit the heart of Texas: Providence Journal &lt;b&gt;...&lt;/b&gt;. Media company Belo Corp. said yesterday that it will cut 250 jobs, mostly at its Dallas newspaper and TV station. A company spokesman said cuts will be made across Belo #39;s operations,, though"
doc_002106,World,Joint Irish-Palestinian appeal for release of kidnapped aid chief (AFP). AFP - A joint appeal for the release of Dublin-born humanitarian aid worker Margaret Hassan kidnapped in Iraq was issued by the Irish and Palestinian foreign ministers.
doc_005939,Business,"Monsanto unveils VISTIVE soybeans. A new, conventionally bred low-linolenic soybean that will reduce or eliminate trans fatty acids in processed soybean oil is ready to roll, Monsanto announced at a press conference this morning at the Farm Progress Show in Alleman, Iowa."
doc_003032,Sports,"Morning After. The Morning After -- Every week, uncut, honest thoughts first thing Monday morning, win or lose, before there #39;s time for  quot;the coach quot; inside to begin thinking rationally."
doc_001653,Sci/Tech,"Alaska's Lone Elephant Getting Treadmill (AP). AP - Animal handlers agonized over the issue for more than a year: the wisdom of moving Alaska's only elephant away from the only home she has ever known. Nine elephant experts were consulted from zoos and animal parks in the United States and Canada, and a decision was made: Maggie stays. 这是插入的中文句子。"
doc_005547,World,"Italy #39;s Two Hostages Dedicated to Helping Iraqis. Simona Torretta and Simona Pari share the same first name, the same age, the same job and the same dedication to the Iraqi people."
doc_004088,Business,"Branson Predicts Price War as Virgin Adds Sydney Flights. Virgin will use Airbus A340-600 aircraft on the London-Sydney route, but plans to increase capacity by using Boeing 747s or adding a second daily service."
doc_002006,World,"Walk the reforms road, UN tells Myanmar. YANGON, Oct. 20. - A change in Myanmars political leadership brought fresh calls today for the military-ruled south-east Asian country to carry on with promises to restore democracy."
doc_003600,Sci/Tech,"Toshiba, M'shita LCD Venture to Make Big TV Panels (Reuters). Reuters - An LCD joint venture between Toshiba Corp. and Matsushita Electric Industrial Co. said on Wednesday it would start making large TV displays early next year, entering a rapidly expanding but crowded market."
doc_001256,Sports,Incident mars marathon. as far as ugly incidents -t a 2004 Olympics that had opened with such anxiety. Until Sunday night. A defrocked Irish
doc_005207,Business,Update 2: Tokyo Stocks Move Lower; Dollar Falls. Tokyo stocks dipped Monday morning as investors took profits from recent gains. The US dollar was down against the Japanese yen. The Nikkei Stock Average of 225 issues fell 24.
doc_003388,Sci/Tech,"Panasonic adds smart card function to SD memory. Matsushita Electric Industrial Co. Ltd., better known for its Panasonic brand, will start selling SD (Secure Digital) memory cards that can be used as smart cards in Japan by the end of 2005, the company said Friday."
doc_000433,Sports,"Cassell returns to the fold. Sam Cassell and the Minnesota Timberwolves apparently are back on good terms. The veteran guard reported for yesterday afternoon's practice after skipping the team's media day and first day of workouts earlier in the week. Cassell, 34, was unhappy about not getting a contract extension."
doc_005586,Sci/Tech,"Copyright Battle Erups over Open-Source  #39;Mambo #39; Code. Brian Connolly, president of Furthermore Inc., an online publishing venture and a division of the Literati Group, has issued a letter to the open-source community that contends that his company owns the code behind Mambo Open Source."
doc_003732,World,"Ivory Coast violence: France will act tirelessly for safety &lt;b&gt;...&lt;/b&gt;. PARIS: France will act tirelessly to ensure the safety of French citizens and other foreigners in Ivory Coast, President Jacques Chirac said Friday."
doc_000179,World,"Iraq Awards First Post-War Oilfield Contracts. BAGHDAD (Reuters) - Iraq's oil ministry has awarded the  country's first post-war oilfield development contracts to  Turkish and Canadian firms, an oil official said on Thursday. این یک جمله فارسی است که وارد شده است."
doc_003756,World,"IAEA report on Iran may undermine US demands. A new report on UN inspections in Irans nuclear facilities may undermine the US demand to send Tehrans nuclear file to the UN Security Council this month, diplomats said on Wednesday."
doc_002555,World,"France seeking to put pullout on agenda. WASHINGTON France said Monday that it would take part in a proposed international conference on Iraq only if the agenda included a possible US troop withdrawal, thus complicating the planning for a meeting that has drawn mixed reactions."
doc_005084,Business,XM and Sirius Stream On. Satellite radio wins the market's straw poll by landing its two key players into the Nasdaq-100 Composite.
doc_001060,Sci/Tech,"Limited EyeToy Support in GT4. November 09, 2004 - In a surprise move, Sony Computer Entertainment and Polyphony Digital revealed today that Gran Turismo 4 will feature limited EyeToy support."
doc_000605,Sports,"NBA Jazz activate Spanish guard Lopez (AFP). AFP - Utah Jazz point guard Raul Lopez, a Spaniard who has missed the past two months while battling torn right knee ligaments, was activated by the National Basketball Association club."
doc_001893,Business,Toyota to make Prius hybrid cars in China. Japan #39;s largest automaker Toyota Motor Corp. said Wednesday it has reached an agreement with China FAW Group Corp. to jointly produce Toyota #39;s Prius hybrid-engine cars in China by the end of 2005.
doc_003458,Sci/Tech,"Cluster Workstations bring supercomputing to power users #39; desks. Santa Clara, California start-up Orion Multisystems is trying to take the benefits of supercomputers and put them into a workstation for power users."
doc_000147,Sci/Tech,"How To Make Phone Calls Online. E-mailing your best pal in Thailand or family in Toledo is cheaper than running up a long-distance phone bill. But even brimming with smiley emoticons, text messages lack a certain personal touch."
doc_003573,Business,"IBM-Lenovo Deal Shows China #39;s Growing Might. For China, the country #39;s biggest computer supplier buying out a unit of IBM is more than just a business deal. Lenovo Group #39;s decision to purchase IBM #39;s PC group for  $1.75 billion could be"
doc_004888,Business,Update 2: Ex-Enron Exec Pleads Guilty to Conspiracy. A former assistant treasurer at toppled energy giant Enron Corp. pleaded guilty to a conspiracy charge Tuesday for his alleged role in making Enron #39;s financial picture appear rosier than it really was.
doc_001832,Business,"McDonald #39;s raises earnings outlook. OAK BROOK, Ill. - Fast food giant McDonalds says earnings this quarter will be better than forecast, thanks to rising sales and a lower tax bill."
doc_002000,Sports,"Purpura Succeeds Hunsicker As Astros #39; GM. Newly named Houston Astros general manager Tim Purpura, left, answers a question as former general manager Gerry Hunsicker, right, listens during a news conference to announce Hunsicker #39;s resignation Monday, Nov. 1, 2004, in Houston."
doc_004544,Sci/Tech,"Movie Industry Suing Hundreds Of Alleged Online Pirates. A year after the recording industry opened fire on illegal file-sharers with hundreds of lawsuits, the movie industry has followed its lead."
doc_001758,World,"Single mother remarks incense civil libertarians. A controversial Italian politician has created a furore by making remarks critical of single mothers. Rocco Buttiglione, who has been proposed as the European Union #39;s new Justice Commissioner, has been quoted"
doc_001326,Sci/Tech,"Spam enforcers urged to work together. Johannesburg, 12 October 2004 - International consumer law enforcers from 29 countries were yesterday urged to work together to combat the growing threat of spam. The companyÃ¢â‚¬â„¢s profits rose"
doc_004801,Sports,"Clearly Carly in women #39;s all-around. As Carly Patterson waited for her final routine Thursday night, her coach looked into her eyes and saw a fire that burned brighter than the Olympic flame."
doc_004232,Sci/Tech,"Smart Web - Looking Into the Future. Alexander Linden, a prominent Gartner Research analyst will be talking about the future later this week in Cannes, France. Smart Web was held ahead of this week #39;s ITXpo symposium, an annual event held to identify the future of technology."
doc_001624,Sports,"Phelps #39; gesture is worth a million. Just when we thought the kid couldn #39;t do anything more to amaze us, he raised the bar Friday night and did it without putting a hand in the water."
doc_000808,World,South Americans Make Offer to EU on Trade (AP). AP - The South American trade bloc Mercosur has made a new offer in a bid to advance stalled trade talks with the European Union and clinch a trans-Atlantic free trade deal by an October deadline.
doc_002610,World,"Hostages   in   Iraq   Face   Death   as   Deadline   Nears.   BAGHDAD   (Reuters)   -   A   deadline   set   by   militants   who   have      threatened   to   kill   two   Americans   and   a   Briton   seized   in   Iraq      was   due   to   expire   Monday,   and   more   than   two   dozen   other      hostages   were   also   facing   death   unless   rebel   demands   were   met."
doc_001247,World,"Prince Sihamoni named new king of Cambodia. Cambodia #39;s Throne Council choseThursday Prince Norodom Sihamoni a new king of Cambodia, a week after his father Norodom Sihanouk abdicated. The companyÃ¢â‚¬â„¢s profits rose"
doc_000045,Business,"Coke to alter sales practices. Coca-Cola on Friday agreed to alter its sales practices in some European markets, an offer likely to bring to an end a five-year investigation by the European Commission into whether the soft drinks giant was stifling retail competition."
doc_001825,Sports,<p>Breaking: markets react to <b>Fed decision</b>.</p> MLB: Anaheim Angels #39; Guerrero Wins MVP Award. Major League Baseball #39;s Vladimir Guerrero of the Anaheim Angels has wrapped up his inaugural season in the American League by winning the Most Valuable Player Award.
doc_002139,Sports,"Capriati Edges Serena in Titanic Quarter-Final. By Simon Cambers  NEW YORK (Reuters) - Jennifer Capriati won a titanic struggle  with old foe Serena Williams to reach the semi-finals of the  U.S. Open, going through 2-6, 6-4, 6-4 Tuesday after one of the  most dramatic battles in the tournament's history."
doc_005504,Sports,"Henman Qualifies for Masters Cup as Rivals Withdraw From Paris. Tim Henman of the UK qualified for the season-ending Masters Cup tennis tournament in Houston this month after Andre Agassi and David Nalbandian, his closest rivals in the rankings, withdrew from this week #39;s Paris Masters."
doc_004210,Business,Oil Prices Edge Up Toward  $48 a Barrel. SINGAPORE (Reuters) - Oil prices edged up toward  $48 a  barrel early on Friday as worries that an early or severe  winter could stress low winter fuel stocks helped staunch the  market's  $8 tumble from record highs.
doc_005936,Sports,"Iran #39;s Olympic snub. Iran #39;s transparent decision to boycott head-to-head competitions against Israeli athletes is an assault on the Olympic ideal. It needs to be dealt with swiftly and sternly. Instead, the International Judo Federation could not find enough executive members ..."
doc_000125,World,"After terror and invasion, Afghans vote (AFP). AFP - Three years after the September 11 attacks on the United States changed the course of Afghanistan's history, the shattered nation votes Saturday in unprecedented presidential elections."
doc_000730,Sports,Aussie tips Rossi to conquer lsland. AUSSIE Troy Bayliss says world champion Valentino Rossi will be unbeatable in today #39;s Australian Motorcycle Grand Prix even though Spain #39;s Sete Gibernau has pole position.
doc_001776,World,China's new wealth clashes with party-boss influence. Quiet efforts are afoot in the southern city of Shenzhen to thwart corruption by professionalizing the civil service.
doc_005021,Business,"Dollar May Fall on Concern Climbing Oil Prices Will Slow Growth. The dollar may fall against the euro for a third week in four on concern near-record crude oil prices will temper the pace of expansion in the US economy, a survey by Bloomberg News indicates."
doc_002343,Sci/Tech,Patchwork of FTAs won #39;t do - Doha Round crucial. WORLD Trade Organisation (WTO) members have finally established a framework for negotiations to conclude the Doha Round. This is good news.
doc_003818,Sci/Tech,"Dell Axim X50 and X50v Review. Like previous Dell Axims, the new Axim X50 comes in several different types. The most cutting-edge of these is designated the X50v, for its VGA screen."
doc_000276,World,Palestinians won #39;t bring anti-Israel draft to General Assembly. The Palestinians have decided not to bring a draft resolution condemning Israel #39;s military operation in the northern Gaza
doc_000727,World,"Freedom at Last for Pakistanis Who Aided Taliban. PUL-I-CHARKI, Afghanistan (Reuters) - Hundreds of  Pakistanis who fought alongside the Taliban against U.S-led  forces after the Sept. 11, 2001, attacks on the United States  were released from an Afghan jail Sunday after nearly three  years as prisoners of war."
doc_002901,Business,"To better compete with Netflix, Blockbuster is dropping its late &lt;b&gt;...&lt;/b&gt;. The movie-rental company said Tuesday it will drop late fees for games and movies starting Jan. 1 - a positive move as seen by customers at the Blockbuster on Westheimer in Montrose."
doc_000169,Sci/Tech,"2004 U.S. Hurricane Season Among Worst on Record. Insurance adjusters and meteorologists are still crunching numbers and analyzing data, but the 2004 U.S. hurricane season will likely go down as one of the most active on record."
doc_002105,Business,"Airways pilots extend talks. Pilots for US Airways are continuing to negotiate this weekend over the Arlington airline #39;s demand for a 16.5 percent pay cut, despite a warning from management that negotiations should have concluded yesterday."
doc_000248,Sci/Tech,"Speech recognition  #39;on-a-chip #39; inside three years. The US National Science Foundation has awarded a  $1m grant to researchers in the US who want to put speech recognition on a chip, a move the project #39;s proponents claim will revolutionise the way we communicate."
doc_000179,World,"Iraq Awards First Post-War Oilfield Contracts. BAGHDAD (Reuters) - Iraq's oil ministry has awarded the  country's first post-war oilfield development contracts to  Turkish and Canadian firms, an oil official said on Thursday. این یک جمله فارسی است که وارد شده است."
doc_003152,Business,Honeywell Outsources Chip Design to IBM. The ten-year deal is a major win for IBM #39;s young Engineering  amp; Technical Services unit. By Paul McDougall. Aerospace giant Honeywell International Inc.
doc_004933,Sci/Tech,"Study: Spammers, Virus Writers Getting Chummy. A new MessageLabs report says more than 86 of the E-mail it sampled in June was spam--and nearly one in 10 contained a virus."
doc_000943,Sports,"UHL Hockey Team Owner Faces Assault Charge (AP). AP - A minor league hockey referee wants assault charges dropped against a team owner who he claimed punched him last week, but prosecutors won't drop the case."
doc_002313,World,"Lebanese PM Resigns, Dissolves Cabinet. Lebanese Prime Minister Rafik Hariri , left, arrives at the the presidential palace to submit his resignation to President Emil Lahoud Wednesday, Oct. 20, 2004."
doc_003067,Sports,"Mariners went for an experienced manager this time. After gambling on an inexperienced manager following Lou Piniella #39;s move to Tampa Bay two years ago, the Seattle Mariners decided that experience was paramount this time."
doc_005803,Business,"Shortage of steel forces halt at Nissan. TOKYO Nissan Motor said on Thursday that a shortage of steel would force it to halt production temporarily at three of its four auto factories in Japan, a highly unusual step the company said was made necessary in part by a surge in demand for steel from Este es un fragmento de texto en español."
doc_002193,Sci/Tech,"Ancient and Modern Tattoos Celebrated in Photography Book. Since ancient times people have marked their bodies as a form of cultural spiritualism. A new book of photographs looks at tattoos, scarification, and other traditional and modern body markings in more than 30 countries. &lt;b&gt;Photo gallery included.&lt;/b&gt;"
doc_003755,Sci/Tech,"Briefly: IBM posts documentation for Cloudscape. roundup Plus: Phone defect could affect hearing...OSDL hires lawyer, opens China office...Ex-Palm CEO Yankowski to head Majesco."
doc_005385,Business,"Mortgage Applications Fell Last Week--MBA (Reuters). Reuters - Applications for U.S. home mortgages declined last week as refinancing activity fell and mortgage rates were little changed, an industry group said on Wednesday."
doc_002372,Business,"US Airways wants court to cut pay. Bankrupt US Airways wants a judge to replace existing contracts for passenger service agents, flight attendants and mechanics with less-expensive ones."
doc_002857,World,"EU's Prodi Says No Special Conditions for Turkey. BRUSSELS (Reuters) - The European Commission will not set  special conditions for Turkey when it decides Wednesday whether  to recommend opening membership talks with Ankara, Commission  President Romano Prodi said Tuesday."
doc_005968,World,Mauritania 'on brink of famine'. Mauritania repeats its call for urgent aid to combat the largest locust plague to hit the region in over 20 years.
doc_002406,Sci/Tech,"IBM, AMD work on straining silicon. IBM and Advanced Micro Devices have come up with a new way of straining silicon in a move that will allow them to make chips with better performance."
doc_002653,World,
doc_005696,Business,"United Steelworkers OK BF Goodrich pact. About 3,400 union workers at three BF Goodrich Tire Manuafacturing plants in Indiana and Alabama have approved a new contract after working nearly 15 months without one."
doc_001999,Sports,"XM Buys Baseball #39;s Satellite Radio Rights. Major League Baseball announced yesterday that it would receive up to  $650 million over the next 11 years from XM Satellite Radio to beam locally produced games, like the Mets #39; WFAN broadcasts, to a national audience."
doc_003448,Sports,Steelers' Roethlisberger Misses Practice (AP). AP - Pittsburgh Steelers quarterback Ben Roethlisberger didn't appear concerned about missing Sunday's game against the Jets despite sitting out Wednesday's practice with a sore quadriceps.
doc_004466,Sports,"Holtz bids farewell as Spurrier waits in wings. COLUMBIA, SC ---- As South Carolina coach Lou Holtz left the game he #39;s cherished for 33 seasons, he couldn #39;t resist poor-mouthing himself one last time."
doc_003037,Sports,"TD, Two Tries at Kick Send Auburn Past LSU (AP). AP - The ball finally got to Courtney Taylor, the flag rescued John Vaughn and No. 14 Auburn proved itself an SEC contender. Jason Campbell hit Taylor for a 16-yard touchdown pass with 1:14 to play, and Auburn got two chances to kick the winning extra point in a 10-9 victory over No. 5 LSU Saturday."
doc_003612,Sci/Tech,"Microsoft #39;s government head to jump ship. The executive who leads Microsoft #39;s government sales effort is leaving to become CEO of a telecommunications company, the software maker said on Tuesday."
doc_005132,Business,"Internet telephone service planned by SBC in early 2005. SBC Communications announced Tuesday that it would offer residential Internet-based calling, joining what could be the future of home-phone service."
doc_001230,Sports,Eagles FB Jon Ritchie Out for Season (AP). AP - Philadelphia Eagles fullback Jon Ritchie will miss the rest of the season after tearing the anterior cruciate ligament in his left knee in Sunday's 30-13 victory over the Detroit Lions.
doc_003398,Sci/Tech,"Toshiba hikes flash memory output. Capacity at Japanese plant to increase 7.5 to meet demand from digital camera, cell phone makers. TOKYO (Reuters) - Toshiba Corp."
doc_002470,World,"S.C. Residents Brace for Gaston. CHARLESTON, S.C. - Rain doused the South Carolina coast early Sunday as Tropical Storm Gaston, just under hurricane strength, picked up speed and pushed ashore..."
doc_004586,Sci/Tech,"New Technology From AMD And IBM Boosts Chip Performance. The manufacturing technology can result in faster chips without increasing power requirements, say the companies. By Darrell Dunn."
doc_003942,Sports,
doc_000383,Business,FedEx Is Flying High. The company reported strong fiscal second-quarter results and positive trends seem likely to continue to drive healthy growth.
doc_000642,Sports,Gannon has broken vertebra in his neck. Oakland quarterback Rich Gannon has a broken vertebra in his neck that will sideline him at least six weeks. Gannon had an MRI exam Monday morning and was taken for further tests.
doc_001016,Business,"Time Warner Sees AOL Ad Revenue at Near  $1 Billion. Time Warner Inc. (TWX.N: Quote, Profile, Research) said on Monday its America Online Internet unit, once seen as the company #39;s red-headed stepchild, could contribute some of the company #39;s most explosive revenue growth."
doc_005761,Sports,Romanian FA chief blasts Mutu. Adrian Mutu has been accused of getting carried away with his fame and fortune by the president of the Romanian Football Association.
doc_002458,Business,"Delta, Pilots To Resume Talks. ATLANTA -- Delta Air Lines and its pilot union plan to resume talks on pay cuts Monday in Washington, after failing to reach agreement Sunday."
doc_001924,Sports,ENGLAND STARS SET FOR REAL STRUGGLE. DAVID BECKHAM and Michael Owen could miss Real Madrid #39;s Champions League clash with Roma tonight as their Bernabeu nightmare goes from bad to worse.
doc_002941,World,"Powell Tackles Illegal Immigrant Issue (AP). AP - An end to the U.S. political season coupled with enhanced border security has significantly improved the climate in the United States for comprehensive immigration reform, Secretary of State Colin Powell said Tuesday."
doc_002682,Sci/Tech,Sleep Disorders Traced to Genes. Can't wake up before lunchtime? Blame your ancestors. Researchers now suspect that night owls inherit their sleeping patterns and are launching a study that could lead to new gene therapy for sleep disorders. By Randy Dotinga.
doc_000250,Sci/Tech,European craft to probe  #39;moon colonies #39;. A tiny craft powered by Star Trek #39; technology is standing at the  quot;gateway quot; to the moon - and a landmark date in the history of European space exploration.
doc_000354,Business,"Royal Doulton in takeover talks. China maker Royal Doulton has revealed it is in talks about a takeover by Irish rival Waterford Wedgwood. Stoke-based Doulton, which is to close its last remaining current UK factory next year, said it was in  quot;advanced discussions quot; with Waterford."
doc_002198,Sci/Tech,"A Former Abbott Executive Hired as Human Genome Chief. Human Genome Sciences plans to announce that H. Thomas Watkins, a former Abbott Laboratories executive, will be its new chief."
doc_004053,Business,Is Marsh Ringing the Value Bell?. Marsh  amp; McLennan (NYSE: MMC) has the highest yield this company #39;s share price has offered since 1988. The dividend has risen every year for the past 10 years at a 12 clip.
doc_000161,Sports,Tri-Nations expansion. RUGBY in the Pacific Islands has been dealt a huge blow after they were left out of a major shake-up in the southern hemispheres premier tournaments yesterday.
doc_003300,Sci/Tech,"Clean green cars move one step closer. A new generation of cheaper and more efficient hydrogen fuel cells may bring the environmentalists dream of affordable, green cars one step closer to reality."
doc_003234,World,Army Reprimand Reported in Slaying. One of four U.S. military officers in Afghanistan alleged to have murdered a local man they believed was following their movements was issued an official reprimand.
doc_001299,World,"Security Council agrees on Sudan resolution as foes pledge imminent deal (AFP). AFP - UN ambassadors agreed here unanimously on the text of a resolution aimed at restoring peace to war-ravaged Sudan, as the country's main foes promised to conclude talks on their 21-year-old conflict by the end of the year."
doc_002550,Sports,NL notables. Dodgers outfielder Milton Bradley was ejected in the eighth inning after he slammed a plastic bottle down in the front row of seats in the right-field corner. A fan apparently threw the bottle onto the field one play after Bradley dropped a liner with the bases loaded.
doc_005660,Business,"Update 1: VNU Sells Directories Unit for  $2.6B. The Dutch publisher VNU, which owns the Nielsen TV ratings service, said Monday it signed a deal to sell its World Directories unit for  $2."
doc_004955,World,"Two Iraqi Ministers Targeted in Separate Attacks. Iraqi officials say assailants targeted the convoys of two Iraqi government ministers in separate attacks in Baghdad Tuesday. Neither official was hurt, but five other people were killed in the attacks."
doc_002076,World,Northern parties continue talks in UK. Talks involving the British and Irish governments and the northern parties continue at Leeds Castle in Kent today. The first day of discussions aimed at restoring power sharing in the North adjourned late last night.
doc_002897,Sci/Tech,"File and Printer Sharing Insecure in XP SP2. ProKras writes  quot;German magazine PC-Welt has discovered a major security flaw in Windows XP SP2 when installing over SP1. The article says that  #39;with a certain configuration, your file and printer sharing data"
doc_003747,Sci/Tech,"Customers Not Confident Of Oracle-PeopleSoft Integration &lt;b&gt;...&lt;/b&gt;. Nearly two-thirds of PeopleSoft customers  quot;not at all confident quot; Oracle will integrate products, survey finds. Half of Oracle feel that way."
doc_003268,Sci/Tech,"Three Minutes With Craig Newmark. The Craig behind Craigslist speaks about his Web community #39;s popularity and touches on the site #39;s future. Craig Newmark, 51, is founder and caretaker of Craigslist, a Web site where nearly 6 million unique"
doc_001494,World,"U.S. Delays Troops Withdrawl From S. Korea. SEOUL, South Korea - The United States will withdraw 12,500 troops from South Korea by 2008, delaying its original plan to redeploy the troops by the end of next year, the South Korean Defense Ministry said Wednesday.    In a statement, the ministry said the U.S..."
doc_002623,World,EU may be without executive over Buttiglione row. The incoming head of the European Commission has been trying to end a dispute which threatens to leave the EU without an executive.
doc_002243,Sports,"Bottom line up front. FOXBOROUGH -- A tale of two lines. One could take a bow the morning after a 27-24 win over the Indianapolis Colts. The other, though it played better in the second half Thursday night, needed to spend a little more time watching its errors on film, and hoping to improve next Sunday in Arizona."
doc_002823,World,"Agency 'slow tackling jam misery'. Motorists suffer daily traffic jams because the Highways Agency has been slow in tackling the problem, a report says."
doc_004688,Business,"Stewart to start serving prison time by Oct. 8. NEW YORK -- Martha Stewart must report to prison by Oct. 8, a federal judge ruled Tuesday in granting the celebrity homemaker #39;s request to begin serving her sentence for lying about a stock sale."
doc_003354,World,"Sudan cease-fire violation investigated. African Union ceasefire monitors are investigating claims that the Sudanese military bombarded a village from helicopter gunships, driving terrified farmers from their homes, only days before the expiry of a UN deadline to end the violence in Darfur."
doc_001463,Sports,"Notes: Olerud weighing options. John Olerud isn #39;t sure whether he #39;ll be wearing a Yankees uniform come Opening Day 2005, but the first baseman isn #39;t ruling out that option."
doc_004008,Sports,"United Stuns MetroStars. Earnie Stewart and Alecko Eskandarian score as D.C. United defeats the MetroStars, 2-0, on Saturday night, taking a commanding lead in their first-round playoff series."
doc_005837,Sci/Tech,"Morpheus Wins Legal Victory. The 9th US Circuit Court of Appeals ruled on August 19th that Grokster and StreamCast could not be held responsible for copyright infringement, because they exercised no control over the"
doc_002399,World,More troops may be sent to Iraq. ABOARD THE USS JOHN F KENNEDY: US Defence Secretary Donald Rumsfeld met 18 of his counterparts on an aircraft carrier in the Gulf yesterday to reassure them on US strategy for Iraq after saying more troops may be sent in for the January elections.
doc_002983,Sci/Tech,"DIY phishing kits found on the internet. Do-it-yourself phishing kits are being made available for download free of charge from the internet, security watchers have warned."
doc_004290,Sci/Tech,"2,500-Year-Old Pomegranate Found in Greece. ATHENS, Greece - A scientific dig has uncovered four pomegranates believed to be 2,500 years old preserved inside a woven basket nestled in a bronze vessel, a Greek archaeologist said Friday."
doc_000545,Sci/Tech,"Cash Bounties For Spammers Win Limited FTC Backing. The Federal Trade Commission yesterday gave limited endorsement to offering cash rewards to people who help track down e-mail spammers, suggesting that such bounties might work but in fewer"
doc_001768,World,"O'Reilly Says He's Ready to Fight Charges. NEW YORK - Fox News Channel's Bill O'Reilly made a TV talk show appearance on what he said was ""the worst day of my life"" Thursday, vowing to fight sexual harassment charges by one of his producers.    Accuser Andrea Mackris spoke publicly for the first time, saying she felt threatened by her former boss, who filed a lawsuit charging the woman and her lawyer with extortion..."
doc_002327,World,"India tests Agni II missile. NEW DELHI, Aug 29: India tested its Agni II surface to surface missile on Sunday in overcast conditions, PTI said quoting defence sources."
